gene,id,Disease-OMIM,Type,OMIM_ID,Mondo,Severity
ACE,106180,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
ACE,106180,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
ACO2,100850,"Infantile cerebellar-retinal degeneration, 614559 (3)",Neurodegenerative,OMIM:614559,MONDO:0013802,Profound
ACOX1,609751,"Peroxisomal acyl-CoA oxidase deficiency, 264470 (3)",Metabolic,OMIM:264470,MONDO:0009919,Profound
ACSF3,614245,"Combined malonic and methylmalonic aciduria, 614265 (3)",Metabolic,OMIM:614265,MONDO:0013661,Profound
ACTA1,102610,"Myopathy, congenital, with fiber-type disproportion 1, 255310 (3)",Neuromuscular,OMIM:255310,MONDO:0009711,
ADA,608958,"Adenosine deaminase deficiency, partial, 102700 (3)",Immunodeficiency,OMIM:102700,MONDO:0007064,Severe
ADA2,607575,"Polyarteritis nodosa, childhood-onset, 615688 (3)",Cardiovascular,OMIM:615688,MONDO:0014306,Severe
ADAMTS13,604134,"Thrombotic thrombocytopenic purpura, familial, 274150 (3)",Hematologic,OMIM:274150,MONDO:0010122,Moderate
ADAMTS2,604539,"Ehlers-Danlos syndrome, type VIIC, 225410 (3)",Cutaneous,OMIM:225410,MONDO:0009161,Severe
ADAMTSL2,612277,"Geleophysic dysplasia 1, 231050 (3)",Lysosomal,OMIM:231050,MONDO:0009269,Profound
ADAR,146920,"Aicardi-Goutieres syndrome 6, 615010 (3)",Neurodegenerative,OMIM:615010,MONDO:0014007,Profound
ADAT3,615302,"Mental retardation, autosomal recessive 36, 615286 (3)",Neurologic,OMIM:615286,MONDO:0014119,Profound
ADGRG1,604110,"Polymicrogyria, bilateral frontoparietal, 606854 (3)",Neurologic,OMIM:606854,MONDO:0011738,Profound
ADGRV1,602851,"Usher syndrome, type 2C, 605472 (3)",Developmental,OMIM:605472,MONDO:0011558,Moderate
ADGRV1,602851,"Usher syndrome, type 2C, 605472 (3)",Developmental,OMIM:605472,MONDO:0011558,Moderate
ADSL,608222,"Adenylosuccinase deficiency, 103050 (3)",Metabolic,OMIM:103050,MONDO:0007068,Profound
AGA,613228,"Aspartylglucosaminuria, 208400 (3)",Lysosomal,OMIM:208400,MONDO:0008830,Profound
AGBL5,615900,"Retinitis pigmentosa 75, 617023 (3), Autosomal recessive",Ocular,OMIM:617023,MONDO:0014871,Severe
AGK,610345,"Sengers syndrome, 212350 (3)",Mitochondrial,OMIM:212350,MONDO:0008922,Profound
AGL,610860,"Glycogen storage disease IIIa, 232400 (3)",Metabolic,OMIM:232400,MONDO:0009291,Profound
AGPS,603051,"Chondrodysplasia punctata, rhizomelic, type 3, 600121 (3)",Skeletal,OMIM:600121,MONDO:0010823,Severe
AGRN,103320,"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3)",Neuromuscular,OMIM:615120,MONDO:0014052,Severe
AGT,106150,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
AGT,106150,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
AGT,106150,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
AGT,106150,"Renal tubular dysgenesis, 267430 (3)",Renal,OMIM:267430,MONDO:0009970,Profound
AGXT,604285,"Hyperoxaluria, primary, type 1, 259900 (3)",Metabolic,OMIM:259900,MONDO:0009823,Profound
AHI1,608894,"Joubert syndrome-3, 608629 (3)",Neurologic,OMIM:608629,MONDO:0012078,Profound
AIFM1,300169,"Cowchock syndrome, 310490 (3)",Neuromuscular,OMIM:310490,MONDO:0010689,Profound
AIMP1,603605,"Leukodystrophy, hypomyelinating, 3, 260600 (3)",Neurodegenerative,OMIM:260600,MONDO:0009843,Profound
AIPL1,604392,"Cone-rod dystrophy, 604393 (3)",Ocular,OMIM:604393,MONDO:0011458,Severe
AK2,103020,"Reticular dysgenesis, 267500 (3)",Immunodeficiency,OMIM:267500,MONDO:0009973,Profound
AKR1D1,604741,"Bile acid synthesis defect, congenital, 2, 235555 (3)",Gastroenterologic,OMIM:235555,MONDO:0009339,Profound
ALAD,125270,"Porphyria, acute hepatic, 612740 (3)",Hepatic,OMIM:612740,MONDO:0013000,Profound
ALDH18A1,138250,"Spastic paraplegia 9B, autosomal recessive, 616586 (3)",Neuromuscular,OMIM:616586,MONDO:0014702,Profound
ALDH1A3,600463,"Microphthalmia, isolated 8, 615113 (3)",Ocular,OMIM:615113,MONDO:0014050,Severe
ALDH3A2,609523,"Sjogren-Larsson syndrome, 270200 (3)",Developmental,OMIM:270200,MONDO:0010031,Profound
ALDH5A1,610045,"Succinic semialdehyde dehydrogenase deficiency, 271980 (3)",Metabolic,OMIM:271980,MONDO:0010083,Profound
ALDH7A1,107323,"Epilepsy, pyridoxine-dependent, 266100 (3)",Neurologic,OMIM:266100,MONDO:0020741,Profound
ALDOB,612724,"Fructose intolerance, 229600 (3)",Metabolic,OMIM:229600,MONDO:0009249,Profound
ALG1,605907,"Congenital disorder of glycosylation, type Ik, 608540 (3)",Metabolic,OMIM:608540,MONDO:0012052,Profound
ALG11,613666,"Congenital disorder of glycosylation, type Ip, 613661 (3)",Metabolic,OMIM:613661,MONDO:0013349,Profound
ALG12,607144,"Congenital disorder of glycosylation, type Ig, 607143 (3)",Metabolic,OMIM:607143,MONDO:0011783,Profound
ALG2,607905,"Myasthenic syndrome, congenital, 14, with tubular aggregates, 616228 (3)",Neuromuscular,OMIM:616228,MONDO:0014543,Severe
ALG3,608750,"Congenital disorder of glycosylation, type Id, 601110 (3)",Metabolic,OMIM:601110,MONDO:0010998,Profound
ALG6,604566,"Congenital disorder of glycosylation, type Ic, 603147 (3)",Metabolic,OMIM:603147,MONDO:0011291,Profound
ALG8,608103,"Congenital disorder of glycosylation, type Ih, 608104 (3)",Metabolic,OMIM:608104,MONDO:0011969,Profound
ALG9,606941,"Congenital disorder of glycosylation, type Il, 608776 (3)",Metabolic,OMIM:608776,MONDO:0012117,Profound
ALMS1,606844,"Alstrom syndrome, 203800 (3)",Developmental,OMIM:203800,MONDO:0008763,Profound
ALOX12B,603741,"Ichthyosis, congenital, autosomal recessive 2, 242100 (3)",Cutaneous,OMIM:242100,MONDO:0009439,Severe
ALOX12B,603741,"Ichthyosis, congenital, autosomal recessive 2, 242100 (3)",Cutaneous,OMIM:242100,MONDO:0009439,Severe
ALOXE3,607206,"Ichthyosis, congenital, autosomal recessive 3, 606545 (3)",Cutaneous,OMIM:606545,MONDO:0011680,Moderate
ALPL,171760,"Hypophosphatasia, infantile, 241500 (3)",Skeletal,OMIM:241500,MONDO:0009427,
ALS2,606352,"Primary lateral sclerosis, juvenile, 606353 (3)",Neurodegenerative,OMIM:606353,MONDO:0011663,Profound
AMPD2,102771,"Pontocerebellar hypoplasia, type 9, 615809 (3)",Neurodegenerative,OMIM:615809,MONDO:0014351,Profound
AMT,238310,"Glycine encephalopathy, 605899 (3)",Metabolic,OMIM:605899,MONDO:0958179,Profound
ANKS6,615370,"Nephronophthisis 16, 615382 (3)",Renal,OMIM:615382,MONDO:0014158,Profound
ANTXR1,606410,"GAPO syndrome, 230740 (3)",Developmental,OMIM:230740,MONDO:0009263,Profound
ANTXR2,608041,"Hyaline fibromatosis syndrome, 228600 (3)",Cutaneous,OMIM:228600,MONDO:0009229,Severe
AP1S2,300629,"Mental retardation, X-linked syndromic 5, 304340 (3)",Neurologic,OMIM:304340,MONDO:0010574,Profound
AP3B2,602166,"Epileptic encephalopathy, early infantile, 48, 617276 (3), Autosomal recessive",Neurologic,OMIM:617276,MONDO:0015000,Profound
AP4B1,607425,"Spastic paraplegia 47, autosomal recessive, 614066 (3)",Neuromuscular,OMIM:614066,MONDO:0013551,Profound
AP4M1,602296,"Spastic paraplegia 50, autosomal recessive, 612936 (3)",Neuromuscular,OMIM:612936,MONDO:0013048,Profound
AP4S1,607243,"Spastic paraplegia 52, autosomal recessive, 614067 (3)",Neuromuscular,OMIM:614067,MONDO:0013552,Profound
APTX,606350,"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 (3)",Neurodegenerative,OMIM:208920,MONDO:0008842,Profound
AQP2,107777,"Diabetes insipidus, nephrogenic, 125800 (3)",Metabolic,OMIM:125800,MONDO:0007451,Severe
ARFGEF2,605371,"Periventricular heterotopia with microcephaly, 608097 (3)",Developmental,OMIM:608097,MONDO:0011966,Profound
ARG1,608313,"Argininemia, 207800 (3)",Metabolic,OMIM:207800,MONDO:0008814,Profound
ARHGEF9,300429,"Epileptic encephalopathy, early infantile, 8, 300607 (3)",Neurologic,OMIM:300607,MONDO:0010375,Profound
ARL13B,608922,"Joubert syndrome 8, 612291 (3)",Neurologic,OMIM:612291,MONDO:0012855,Profound
ARL6,608845,"Bardet-Biedl syndrome 3, 600151 (3)",Developmental,OMIM:600151,MONDO:0010832,Profound
ARMC4,615408,"Ciliary dyskinesia, primary, 23, 615451 (3)",Respiratory,OMIM:615451,MONDO:0014193,Severe
ARPC1B,604223,"Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease, 617718 (3), Autosomal recessive",Hematologic,OMIM:617718,MONDO:0060583,Moderate
ARSA,607574,"Metachromatic leukodystrophy, 250100 (3)",Lysosomal,OMIM:250100,MONDO:0009591,Profound
ARSB,611542,"Mucopolysaccharidosis type VI (Maroteaux-Lamy), 253200 (3)",Lysosomal,OMIM:253200,MONDO:0009661,Profound
ARV1,611647,"Epileptic encephalopathy, early infantile, 38, 617020 (3), Autosomal recessive",Neurologic,OMIM:617020,MONDO:0014868,Profound
ARX,300382,"Hydranencephaly with abnormal genitalia, 300215 (3)",Developmental,OMIM:300215,MONDO:0010268,Profound
ASAH1,613468,"Farber lipogranulomatosis, 228000 (3)",Lysosomal,OMIM:228000,MONDO:0009218,Profound
ASCC1,614215,"Barrett esophagus/esophageal adenocarcinoma, 614266 (3)",Gastroenterologic,OMIM:614266,MONDO:0013662,Moderate
ASCC1,614215,"Barrett esophagus/esophageal adenocarcinoma, 614266 (3)",Gastroenterologic,OMIM:614266,MONDO:0013662,Moderate
ASCC1,614215,"Barrett esophagus/esophageal adenocarcinoma, 614266 (3)",Gastroenterologic,OMIM:614266,MONDO:0013662,Moderate
ASL,608310,"Argininosuccinic aciduria, 207900 (3)",Metabolic,OMIM:207900,MONDO:0008815,Profound
ASNS,108370,"Asparagine synthetase deficiency, 615574 (3)",Metabolic,OMIM:615574,MONDO:0014258,Profound
ASPA,608034,"Canavan disease, 271900 (3)",Metabolic,OMIM:271900,MONDO:0010079,Profound
ASPM,605481,"Microcephaly 5, primary, autosomal recessive, 608716 (3)",Developmental,OMIM:608716,MONDO:0012106,Profound
ASS1,603470,"Citrullinemia, 215700 (3)",Metabolic,OMIM:215700,MONDO:0008988,Profound
ATAD1,614452,"Hyperekplexia 4, 618011 (3), Autosomal recessive",Neurologic,OMIM:618011,MONDO:0044330,Profound
ATCAY,608179,"Ataxia, cerebellar, Cayman type, 601238 (3)",Neurodegenerative,OMIM:601238,MONDO:0011025,Profound
ATF6,605537,"Achromatopsia 7, 616517 (3), Autosomal recessive",Ocular,OMIM:616517,MONDO:0014677,Moderate
ATM,607585,"Ataxia-telangiectasia, 208900 (3)",Neurodegenerative,OMIM:208900,MONDO:0008840,Profound
ATOH7,609875,"Persistent hyperplastic primary vitreous, autosomal recessive, 221900 (3)",Ocular,OMIM:221900,MONDO:0009097,Severe
ATP13A2,610513,"Spastic paraplegia 78, autosomal recessive, 617225 (3)",Neuromuscular,OMIM:617225,MONDO:0014975,Profound
ATP6AP1,300197,"Immunodeficiency 47, 300972 (3), X-linked recessive",Immunodeficiency,OMIM:300972,MONDO:0010504,Profound
ATP6V0A2,611716,"Cutis laxa, autosomal recessive, type IIA, 219200 (3)",Cutaneous,OMIM:219200,MONDO:0009054,
ATP6V0A4,605239,"Renal tubular acidosis, distal, autosomal recessive, 602722 (3)",Renal,OMIM:602722,MONDO:0011268,Severe
ATP6V1B1,192132,"Renal tubular acidosis with deafness, 267300 (3)",Renal,OMIM:267300,MONDO:0009968,Moderate
ATP7A,300011,"Menkes disease, 309400 (3)",Metabolic,OMIM:309400,MONDO:0010651,Profound
ATP7B,606882,"Wilson disease, 277900 (3)",Metabolic,OMIM:277900,MONDO:0010200,Profound
ATP8A2,605870,"?Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4",Neurologic,,,
ATP8B1,602397,"Cholestasis, progressive familial intrahepatic 1, 211600 (3)",Hepatic,OMIM:211600,MONDO:0008892,Severe
ATR,601215,"Seckel syndrome 1, 210600 (3)",Developmental,OMIM:210600,MONDO:0008869,Profound
ATRX,300032,"Mental retardation-hypotonic facies syndrome, X-linked, 309580 (3)",Neurologic,OMIM:309580,MONDO:0010663,Profound
AUH,600529,"3-methylglutaconic aciduria, type I, 250950 (3)",Metabolic,OMIM:250950,MONDO:0009610,Profound
B3GALNT2,610194,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, 615181 (3)",Neuromuscular,OMIM:615181,MONDO:0014071,Profound
B3GALT6,615291,"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3)",Skeletal,OMIM:271640,MONDO:0010075,Severe
B3GAT3,606374,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects, 245600 (3)",Skeletal,OMIM:245600,MONDO:0009511,Severe
B3GAT3,606374,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects, 245600 (3)",Skeletal,OMIM:245600,MONDO:0009511,Severe
B3GLCT,610308,"Peters-plus syndrome, 261540 (3)",Developmental,OMIM:261540,MONDO:0009856,Profound
B4GALNT1,601873,"Spastic paraplegia 26, autosomal recessive, 609195 (3)",Neuromuscular,OMIM:609195,MONDO:0012213,Profound
B4GALT7,604327,"Ehlers-Danlos syndrome, progeroid type, 1, 130070 (3)",Cutaneous,OMIM:130070,MONDO:0020682,Severe
BBS1,209901,"Bardet-Biedl syndrome 1, 209900 (3)",Developmental,OMIM:209900,MONDO:0008854,Profound
BBS10,610148,"Bardet-Biedl syndrome 10, 615987 (3)",Developmental,OMIM:615987,MONDO:0014438,Profound
BBS12,610683,"Bardet-Biedl syndrome 12, 615989 (3)",Developmental,OMIM:615989,MONDO:0014440,Severe
BBS2,606151,"Bardet-Biedl syndrome 2, 615981 (3)",Developmental,OMIM:615981,MONDO:0014432,Profound
BBS4,600374,"Bardet-Biedl syndrome 4, 615982 (3)",Developmental,OMIM:615982,MONDO:0014433,Severe
BBS5,603650,"Bardet-Biedl syndrome 5, 615983 (3)",Developmental,OMIM:615983,MONDO:0014434,Profound
BBS7,607590,"Bardet-Biedl syndrome 7, 615984 (3)",Developmental,OMIM:615984,MONDO:0014435,Severe
BBS9,607968,"Bardet-Biedl syndrome 9, 615986 (3)",Developmental,OMIM:615986,MONDO:0014437,Profound
BCKDHA,608348,"Maple syrup urine disease, type Ia, 248600 (3)",Metabolic,OMIM:248600,MONDO:0023691,Severe
BCKDHB,248611,"Maple syrup urine disease, type Ib, 248600 (3)",Metabolic,OMIM:248600,MONDO:0023691,Severe
BCKDK,614901,"Branched-chain ketoacid dehydrogenase kinase deficiency, 614923 (3)",Metabolic,OMIM:614923,MONDO:0013970,Profound
BCS1L,603647,"GRACILE syndrome, 603358 (3)",Metabolic,OMIM:603358,MONDO:0011308,Severe
BGN,301870,"Meester-Loeys syndrome, 300989 (3), X-linked",Cardiovascular,OMIM:300989,MONDO:0010515,Severe
BIN1,601248,"Myopathy, centronuclear, autosomal recessive, 255200 (3)",Neuromuscular,OMIM:255200,MONDO:0009709,Profound
BLM,604610,"Bloom syndrome, 210900 (3)",Developmental,OMIM:210900,MONDO:0008876,Profound
BMPER,608699,"Diaphanospondylodysostosis, 608022 (3)",Skeletal,OMIM:608022,MONDO:0011946,Profound
BMPR1B,603248,"Acromesomelic dysplasia, Demirhan type, 609441 (3), Autosomal recessive",Skeletal,OMIM:609441,MONDO:0012274,Severe
BOLA3,613183,"Multiple mitochondrial dysfunctions syndrome 2, 614299 (3)",Mitochondrial,OMIM:614299,MONDO:0013675,Profound
BRAT1,614506,"Rigidity and multifocal seizure syndrome, lethal neonatal, 614498 (3)",Neurodegenerative,OMIM:614498,MONDO:0013784,Profound
BRF1,604902,"Cerebellofaciodental syndrome, 616202 (3)",Developmental,OMIM:616202,MONDO:0014529,Profound
BRWD3,300553,"Mental retardation, X-linked 93, 300659 (3)",Neurologic,OMIM:300659,MONDO:0010393,Profound
BSCL2,606158,"Encephalopathy, progressive, with or without lipodystrophy, 615924 (3)",Neurodegenerative,OMIM:615924,MONDO:0014402,Profound
BSND,606412,"Bartter syndrome, type 4a, 602522 (3)",Renal,OMIM:602522,MONDO:0011242,Profound
BTK,300300,"Agammaglobulinemia and isolated hormone deficiency, 307200 (3)",Immunodeficiency,OMIM:307200,MONDO:0010615,Severe
BUB1B,602860,"Mosaic variegated aneuploidy syndrome 1, 257300 (3)",Developmental,OMIM:257300,MONDO:0009759,Profound
C12orf57,615140,"Temtamy syndrome, 218340 (3)",Developmental,OMIM:218340,MONDO:0009033,Profound
C12orf65,613541,"Combined oxidative phosphorylation deficiency 7, 613559 (3)",Mitochondrial,OMIM:613559,MONDO:0013306,Profound
C19orf12,614297,"Neurodegeneration with brain iron accumulation 4, 614298 (3)",Neurodegenerative,OMIM:614298,MONDO:0013674,Profound
C1QA,120550,"C1q deficiency, 613652 (3)",Immunodeficiency,OMIM:613652,MONDO:0013343,
C1QB,120570,"C1q deficiency, 613652 (3)",Immunodeficiency,OMIM:613652,MONDO:0013343,
C1QC,120575,"C1q deficiency, 613652 (3)",Immunodeficiency,OMIM:613652,MONDO:0013343,
C2CD3,615944,Orofaciodigital syndrome XIV,Developmental,,,
C3,120700,"C3 deficiency, 613779 (3)",Immunodeficiency,OMIM:613779,MONDO:0013417,Severe
C5,120900,"C5 deficiency, 609536 (3)",Immunodeficiency,OMIM:609536,MONDO:0012295,Moderate
C6,217050,"C6 deficiency, 612446 (3)",Immunodefinciency,OMIM:612446,MONDO:0012908,Moderate
C7,217070,"C7 deficiency, 610102 (3)",Immunodefinciency,OMIM:610102,MONDO:0012412,Moderate
C8B,120960,"C8 deficiency, type II, 613789 (3)",Immunodeficiency,OMIM:613789,MONDO:0013421,Moderate
C8orf37,614477,"Cone-rod dystrophy 16, 614500 (3)",Ocular,OMIM:614500,MONDO:0013786,Severe
CA2,611492,"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis, 259730 (3)",Skeletal,OMIM:259730,MONDO:0009818,Profound
CABP4,608965,"Cone-rod synaptic disorder, congenital nonprogressive, 610427 (3)",Ocular,OMIM:610427,MONDO:0012490,Moderate
CANT1,613165,"Desbuquois dysplasia, 251450 (3)",Skeletal,OMIM:251450,MONDO:0009629,Severe
CAPN3,114240,"Muscular dystrophy, limb-girdle, type 2A, 253600 (3)",Neuromuscular,OMIM:253600,MONDO:0009675,Severe
CARD11,607210,"Immunodeficiency 11, 615206 (3)",Immunodeficiency,OMIM:615206,MONDO:0014081,Moderate
CARD9,607212,"Candidiasis, familial, 2, autosomal recessive, 212050 (3)",Immunodeficiency,OMIM:212050,MONDO:0008905,Moderate
CARS2,612800,"Combined oxidative phosphorylation deficiency 27, 616672 (3), Autosomal recessive",Mitochondrial,OMIM:616672,MONDO:0014728,Profound
CASK,300172,"Mental retardation, with or without nystagmus",Neurologic,,,
CASQ2,114251,"Ventricular tachycardia, catecholaminergic polymorphic, 2, 611938 (3)",Cardiovascular,OMIM:611938,MONDO:0012762,Profound
CASR,601199,"Hyperparathyroidism, neonatal, 239200 (3)",Developmental,OMIM:239200,MONDO:0009397,Severe
CAVIN1,603198,"Lipodystrophy, congenital generalized, type 4, 613327 (3)",Developmental,OMIM:613327,MONDO:0013225,Severe
CBS,613381,"Homocystinuria, B6-responsive and nonresponsive types, 236200 (3)",Metabolic,OMIM:236200,MONDO:0009352,Profound
CC2D1A,610055,"Mental retardation, autosomal recessive 3, 608443 (3)",Neurologic,OMIM:608443,MONDO:0012037,Profound
CC2D2A,612013,"Joubert syndrome 9, 612285 (3)",Neurologic,OMIM:612285,MONDO:0012849,Profound
CCBE1,612753,"Hennekam lymphangiectasia-lymphedema syndrome 1, 235510 (3)",Developmental,OMIM:235510,MONDO:0009337,Profound
CCDC103,614677,"Ciliary dyskinesia, primary, 17, 614679 (3)",Respiratory,OMIM:614679,MONDO:0013854,Severe
CCDC114,615038,"Ciliary dyskinesia, primary, 20, 615067 (3)",Respiratory,OMIM:615067,MONDO:0014030,Severe
CCDC115,613734,"Congenital disorder of glycosylation, type IIo, 616828 (3), Autosomal recessive",Metabolic,OMIM:616828,MONDO:0014789,Profound
CCDC39,613798,"Ciliary dyskinesia, primary, 14, 613807 (3)",Respiratory,OMIM:613807,MONDO:0013434,Severe
CCDC40,613799,"Ciliary dyskinesia, primary, 15, 613808 (3)",Respiratory,OMIM:613808,MONDO:0013435,Severe
CCDC8,614145,"3-M syndrome 3, 614205 (3)",Developmental,OMIM:614205,MONDO:0013627,Severe
CCDC88C,611204,"Hydrocephalus, nonsyndromic, autosomal recessive, 236600 (3)",Neurologic,OMIM:236600,MONDO:0009360,Severe
CCN6,603400,"Arthropathy, progressive pseudorheumatoid, of childhood, 208230 (3)",Skeletal,OMIM:208230,MONDO:0008827,Severe
CCNO,607752,"Ciliary diskinesia, primary, 29, 615872 (3)",Respiratory,OMIM:615872,MONDO:0014378,Severe
CD27,186711,"Lymphoproliferative syndrome 2, 615122 (3)",Immunodeficiency,OMIM:615122,MONDO:0014054,Severe
CD3D,186790,"Immunodeficiency 19, 615617 (3)",Immunodeficiency,OMIM:615617,MONDO:0014280,Profound
CD40,109535,"Immunodeficiency with hyper-IgM, type 3, 606843 (3)",Immunodeficiency,OMIM:606843,MONDO:0011735,Severe
CD40LG,300386,"Immunodeficiency, X-linked, with hyper-IgM, 308230 (3)",Immunodeficiency,OMIM:308230,MONDO:0010626,Profound
CD55,125240,"Complement hyperactivation, angiopathic thrombosis, and protein-losing enteropathy, 226300 (3), Autosomal recessive",Hematologic,OMIM:226300,MONDO:0009174,Severe
CD81,186845,"Immunodeficiency, common variable, 6, 613496 (3)",Immunodeficiency,OMIM:613496,MONDO:0013286,Severe
CDC45,603465,"Meier-Gorlin syndrome 7, 617063 (3), Autosomal recessive",Skeletal,OMIM:617063,MONDO:0014894,Profound
CDH11,600023,"Elsahy-Waters syndrome, 211380 (3), Autosomal recessive",Developmental,OMIM:211380,MONDO:0008885,Profound
CDH23,605516,"Usher syndrome, type 1D, 601067 (3)",Developmental,OMIM:601067,MONDO:0010984,Moderate
CDH23,605516,"Usher syndrome, type 1D, 601067 (3)",Developmental,OMIM:601067,MONDO:0010984,Moderate
CDH3,114021,"Ectodermal dysplasia, ectrodactyly, and macular dystrophy, 225280 (3)",Cutaneous,OMIM:225280,MONDO:0009155,Severe
CDK10,603464,"Al Kaissi syndrome, 617694 (3), Autosomal recessive",Developmental,OMIM:617694,MONDO:0044324,Profound
CDK5RAP2,608201,"Microcephaly 3, primary, autosomal recessive, 604804 (3)",Developmental,OMIM:604804,MONDO:0011488,Profound
CDT1,605525,"Meier-Gorlin syndrome 4, 613804 (3)",Skeletal,OMIM:613804,MONDO:0013431,Profound
CENPJ,609279,"Microcephaly 6, primary, autosomal recessive, 608393 (3)",Developmental,OMIM:608393,MONDO:0012029,Profound
CEP120,613446,"Short-rib thoracic dysplasia 13 with or without polydactyly, 616300 (3)",Skeletal,OMIM:616300,MONDO:0014577,Profound
CEP152,613529,"Seckel syndrome 5, 613823 (3)",Developmental,OMIM:613823,MONDO:0013443,Profound
CEP290,610142,"Joubert syndrome 5, 610188 (3)",Neurologic,OMIM:610188,MONDO:0012432,Profound
CEP41,610523,"Joubert syndrome 15, 614464 (3)",Neurologic,OMIM:614464,MONDO:0013763,Profound
CEP78,617110,"Cone-rod dystrophy and hearing loss, 617236 (3), Autosomal recessive",Ocular,OMIM:617236,MONDO:0020778,Moderate
CERS3,615276,"Ichthyosis, congenital, autosomal recessive 9, 615023 (3)",Cutaneous,OMIM:615023,MONDO:0014010,Moderate
CFAP410,603191,"Retinal dystrophy with macular staphyloma, 617547 (3), Autosomal recessive",Ocular,OMIM:617547,,
CFD,134350,"Complement factor D deficiency, 613912 (3)",Immunodeficiency,OMIM:613912,MONDO:0013487,Moderate
CFH,134370,"Complement factor H deficiency, 609814 (3)",Immunodefinciency,OMIM:609814,MONDO:0012350,Moderate
CFI,217030,"Complement factor I deficiency, 610984 (3)",Immunodeficiency,OMIM:610984,MONDO:0012594,Severe
CFL2,601443,"Nemaline myopathy 7, autosomal recessive, 610687 (3)",Neuromuscular,OMIM:610687,MONDO:0012538,Severe
CFP,300383,"Properdin deficiency, X-linked, 312060 (3)",Immunodeficiency,OMIM:312060,MONDO:0010713,Mild
CFTR,602421,"Cystic fibrosis, 219700 (3)",Developmental,OMIM:219700,MONDO:0009061,Profound
CHAT,118490,"Myasthenic syndrome, congenital, 6, presynaptic, 254210 (3)",Neuromuscular,OMIM:254210,MONDO:0009689,Severe
